date;time;line;sens;car;van;truck;bus;motorbike;bicycle;person;scooter
2024-12-17;16h45-17h00;0;0;1;0;0;0;0;0;0;0
2024-12-17;16h45-17h00;0;1;1;0;0;0;0;0;0;0
2024-12-17;17h00-17h15;0;0;0;1;0;0;0;0;0;0
2024-12-17;17h00-17h15;0;1;0;1;0;0;0;0;0;0
2024-12-17;17h15-17h30;0;0;0;0;0;0;0;0;0;0
2024-12-17;17h15-17h30;0;1;2;0;0;0;0;0;0;0
2024-12-17;17h30-17h45;0;0;0;0;0;0;0;0;0;0
2024-12-17;17h30-17h45;0;1;1;1;0;0;0;0;0;0
2024-12-17;17h45-18h00;0;0;1;1;0;0;0;0;0;0
2024-12-17;17h45-18h00;0;1;2;3;0;0;0;0;0;0
2024-12-17;18h00-18h15;0;0;2;0;0;0;0;0;0;0
2024-12-17;18h00-18h15;0;1;1;2;0;0;0;0;0;0
2024-12-17;18h15-18h30;0;0;0;0;0;0;0;0;0;0
2024-12-17;18h15-18h30;0;1;0;1;0;0;0;0;0;0
2024-12-18;05h30-05h45;0;0;3;2;1;0;0;0;0;0
2024-12-18;05h30-05h45;0;1;7;1;0;0;0;0;0;0
2024-12-18;05h45-06h00;0;0;3;5;1;0;0;0;0;0
2024-12-18;05h45-06h00;0;1;0;1;0;0;0;0;0;0
2024-12-18;06h00-06h15;0;0;6;13;3;0;0;0;0;0
2024-12-18;06h00-06h15;0;1;8;12;0;0;0;0;0;0
2024-12-18;06h15-06h30;0;0;0;9;0;0;0;0;0;0
2024-12-18;06h15-06h30;0;1;2;6;0;0;0;0;0;0
2024-12-18;06h30-06h45;0;0;0;7;0;0;0;0;0;0
2024-12-18;06h30-06h45;0;1;1;7;0;0;0;0;0;0
2024-12-18;06h45-07h00;0;0;1;9;0;0;0;0;0;0
2024-12-18;06h45-07h00;0;1;2;7;0;0;0;0;0;0
2024-12-18;07h00-07h15;0;0;2;6;0;0;0;0;0;0
2024-12-18;07h00-07h15;0;1;1;4;0;0;0;0;0;0
2024-12-18;07h15-07h30;0;0;3;3;0;0;0;0;0;0
2024-12-18;07h15-07h30;0;1;4;7;1;0;0;0;0;0
2024-12-18;07h30-07h45;0;0;6;1;1;0;0;0;0;0
2024-12-18;07h30-07h45;0;1;3;2;2;0;0;0;0;0
2024-12-18;07h45-08h00;0;0;3;0;3;0;0;0;0;0
2024-12-18;07h45-08h00;0;1;3;0;2;0;0;0;0;0
2024-12-18;08h00-08h15;0;0;5;2;5;0;1;0;0;0
2024-12-18;08h00-08h15;0;1;0;0;2;0;0;0;0;0
2024-12-18;08h15-08h30;0;0;4;5;2;0;0;0;0;0
2024-12-18;08h15-08h30;0;1;5;2;2;0;0;0;0;0
2024-12-18;08h30-08h45;0;0;2;2;2;0;0;0;0;0
2024-12-18;08h30-08h45;0;1;0;0;1;0;0;0;0;0
