date;time;line;sens;car;van;truck;bus;motorbike;bicycle;person;scooter
2024-12-17;14h15-14h30;0;1;9;3;0;0;0;0;0;0
2024-12-17;14h30-14h45;0;0;7;7;1;0;0;0;0;0
2024-12-17;14h30-14h45;0;1;2;3;0;0;0;0;0;0
2024-12-17;14h45-15h00;0;0;10;6;2;0;0;0;0;0
2024-12-17;14h45-15h00;0;1;7;3;0;0;0;0;0;0
2024-12-17;15h00-15h15;0;0;7;3;0;0;0;0;0;0
2024-12-17;15h00-15h15;0;1;0;3;0;0;0;0;0;0
2024-12-17;15h15-15h30;0;0;8;1;0;0;0;0;0;0
2024-12-17;15h15-15h30;0;1;2;2;1;0;0;0;0;0
2024-12-17;15h30-15h45;0;0;11;2;4;0;1;0;0;0
2024-12-17;15h30-15h45;0;1;4;2;0;0;0;0;0;0
2024-12-17;15h45-16h00;0;0;5;0;1;0;0;0;0;0
2024-12-17;15h45-16h00;0;1;3;1;0;0;0;0;0;0
2024-12-17;16h00-16h15;0;0;4;3;0;0;0;0;0;0
2024-12-17;16h00-16h15;0;1;3;2;0;0;0;0;0;0
2024-12-17;16h15-16h30;0;0;7;2;0;0;0;0;0;0
2024-12-17;16h15-16h30;0;1;1;2;0;0;0;0;0;0
2024-12-17;16h30-16h45;0;0;7;0;2;0;1;0;0;0
2024-12-17;16h30-16h45;0;1;1;2;0;0;0;0;0;0
2024-12-17;16h45-17h00;0;0;8;4;1;0;0;0;0;0
2024-12-17;16h45-17h00;0;1;4;1;0;0;0;0;0;0
2024-12-17;17h00-17h15;0;0;9;1;0;0;0;0;0;0
2024-12-17;17h00-17h15;0;1;7;0;0;0;0;0;0;0
2024-12-17;17h15-17h30;0;0;5;0;0;0;0;0;0;0
2024-12-17;17h15-17h30;0;1;0;0;0;0;0;0;0;0
2024-12-17;17h30-17h45;0;0;11;1;0;0;0;0;0;0
2024-12-17;17h30-17h45;0;1;0;2;0;0;0;0;0;0
2024-12-17;17h45-18h00;0;0;5;3;0;0;0;0;0;0
2024-12-17;17h45-18h00;0;1;0;0;0;0;0;0;0;0
2024-12-17;18h00-18h15;0;0;9;0;1;0;0;0;0;0
2024-12-17;18h00-18h15;0;1;1;1;0;0;0;0;0;0
2024-12-17;18h15-18h30;0;0;4;2;0;0;0;0;0;0
2024-12-17;18h15-18h30;0;1;0;3;0;0;0;0;0;0
2024-12-17;18h30-18h45;0;0;3;0;0;0;0;0;0;0
2024-12-17;18h30-18h45;0;1;3;2;0;0;0;0;0;0
2024-12-17;19h00-19h15;0;0;4;0;1;0;0;0;0;0
2024-12-17;19h00-19h15;0;1;0;3;0;0;0;0;0;0
2024-12-17;19h15-19h30;0;0;1;1;0;0;0;0;0;0
2024-12-17;19h15-19h30;0;1;2;1;1;0;0;0;0;0
2024-12-17;19h30-19h45;0;0;1;0;0;0;0;0;0;0
2024-12-17;19h30-19h45;0;1;0;2;0;0;0;0;0;0
2024-12-17;19h45-20h00;0;0;4;0;0;0;0;0;0;0
2024-12-17;19h45-20h00;0;1;0;0;0;0;0;0;0;0
2024-12-17;20h00-20h15;0;0;1;0;0;0;0;0;0;0
2024-12-17;20h00-20h15;0;1;0;1;0;0;0;0;0;0
2024-12-17;20h15-20h30;0;0;0;0;0;0;0;0;0;0
2024-12-17;20h15-20h30;0;1;1;3;0;0;0;0;0;0
2024-12-17;20h30-20h45;0;0;1;0;0;0;0;0;0;0
2024-12-17;20h30-20h45;0;1;2;1;1;0;0;0;0;0
2024-12-17;20h45-21h00;0;0;2;1;0;0;0;0;0;0
2024-12-17;20h45-21h00;0;1;2;1;0;0;0;0;0;0
2024-12-17;21h00-21h15;0;0;2;0;0;0;0;0;0;0
2024-12-17;21h00-21h15;0;1;1;2;0;0;0;0;0;0
